Test_Date,Maturity,Base Yield,Mean Reversion,Level Up,Level Down,Twist Up-to-Down,Twist Down-to-Up
2019-02-01,18.0,0.0041095096917832955,0.007185776138575515,0.012980744323216178,-0.004761724939649587,0.004045082427309781,0.00417393695625681
2019-02-01,19.0,0.004438154747043019,0.00755763335725044,0.01340385362540591,-0.004527544131319871,0.004247272760936796,0.004629036733149242
2019-02-01,20.0,0.004740860916283381,0.007899432927627785,0.013791846238867155,-0.004310124406300394,0.004433136492458266,0.0050485853401084965
2019-02-01,21.0,0.005019911903192442,0.008213995438876163,0.014148237650587207,-0.004108413844202322,0.004604201692178735,0.005435622114206149
2019-02-01,22.0,0.0052774567907345,0.008503922367160275,0.014476207615214877,-0.003921294033745876,0.004761878864664234,0.0057930347168047664
2019-02-01,23.0,0.0055154873863309355,0.008771588441108674,0.014778614756736813,-0.003747639984074942,0.004907456373765395,0.006123518398896476
2019-02-01,24.0,0.00573582974442051,0.009019145284465558,0.015058017837233175,-0.003586358348392156,0.005042102111586939,0.006429557377254081
2019-02-01,25.0,0.005940144868810558,0.009248531931867083,0.015316700299820124,-0.0034364105621990087,0.005166868987329251,0.0067134207502918646
2019-02-01,26.0,0.00612993511937887,0.00946148920911672,0.015556695857741106,-0.003296825618983367,0.005282702578365335,0.006977167660392405
2019-02-01,27.0,0.0063065539341603735,0.009659575957015984,0.015779813712718936,-0.003166705844398191,0.005390449828640218,0.007222658039680529
2019-02-01,28.0,0.00647121724937823,0.009844185772158252,0.015987662544623117,-0.0030452280458666573,0.0054908680612264105,0.00745156643753005
2019-02-01,29.0,0.006625015544457541,0.010016563422162925,0.01618167279450318,-0.002931641705588097,0.005584633838181011,0.0076653972507340715
2019-02-01,30.0,0.006768925820386537,0.01017782042676798,0.016363117016821388,-0.002825265376048316,0.005672351384720646,0.007865500256052427
2019-02-01,31.0,0.00690382308432184,0.010328949523479406,0.016533128242122143,-0.0027254820734784616,0.005754560420006066,0.008053085748637615
2019-02-01,32.0,0.007030491094630797,0.010470837888422065,0.01669271639544496,-0.0026317342061833683,0.005831743320698538,0.008229238868563055
2019-02-01,33.0,0.007149632242859221,0.010604279082152675,0.01684278287776877,-0.0025435183920503287,0.005904331598267152,0.00839493288745129
2019-02-01,34.0,0.007261876529857269,0.010729983752590544,0.016984133451291322,-0.002460380391576784,0.0059727117056343655,0.008551041354080172
2019-02-01,35.0,0.0073677896450113824,0.01084858916437496,0.017117489583982202,-0.002381910293959436,0.006037230209451499,0.008698349080571266
2019-02-01,36.0,0.007467880189167194,0.010960667644009391,0.017243498411290248,-0.0023077380329558604,0.006098198375569176,0.008837562002765212
2019-02-01,37.0,0.007562606099754263,0.011066734038837076,0.017362741467760366,-0.0022375292682518377,0.006155896220262821,0.008969315979245706
2019-02-01,38.0,0.007652380345342837,0.011167252289220393,0.01747574233177867,-0.0021709816410929944,0.006210576080696331,0.009094184609989344
2019-02-01,39.0,0.007737575959540411,0.0112626412100462,0.017582973314841287,-0.002107821395760467,0.00626246575648771,0.009212686162593112
2019-02-01,40.0,0.0078185304829759,0.011353279571752153,0.017684861314027384,-0.0020478003480755846,0.006311771271126311,0.009325289694825488
2019-02-01,41.0,0.007895549878641717,0.011439510563747014,0.01778179293364288,-0.001990693176359446,0.0063586792980899,0.009432420459193534
