Test_Date,Maturity,Base Yield,Level Up,Level Down,Mean Reversion,Twist Up-to-Down,Twist Down-to-Up
2020-11-06,11.0,0.0005533076527832748,0.006791739515049633,-0.005685124209885095,0.0018133653890313184,0.0010766590292654588,2.9956275475528926e-05
2020-11-06,12.0,0.0008421409661909518,0.007528230923671941,-0.005843948991680947,0.0022324904064576767,0.0012581184899351783,0.0004261634416544702
2020-11-06,13.0,0.0011233159999837206,0.008228669010312606,-0.0059820370107118714,0.0026378166387932556,0.0014301976716877274,0.0008164343275314234
2020-11-06,14.0,0.0013949480640618184,0.008892453654337773,-0.0061025575265688525,0.00302729275230762,0.0015928752804592605,0.001197020846950947
2020-11-06,15.0,0.001655800726876766,0.009519762007008215,-0.006208160553597408,0.0033996657707442424,0.001746295175202972,0.0015653062778722138
2020-11-06,16.0,0.0019051350924363941,0.010111335184535886,-0.006301064999979511,0.003754290157215845,0.0018907189592805018,0.001919551224948579
2020-11-06,17.0,0.002142590355588947,0.010668312253750756,-0.006383131542882281,0.004090977007670693,0.0020264892470072127,0.0022586914635644995
2020-11-06,18.0,0.002368089461881606,0.011192101839012869,-0.0064559229155624065,0.004409875383984518,0.0021540014051588674,0.0025821775180148165
2020-11-06,19.0,0.0025817648847510366,0.011684283579059374,-0.006520753809855173,0.00471137935352739,0.0022736820036550753,0.002889847765289222
2020-11-06,20.0,0.0027839004949863355,0.012146533197803455,-0.006578732208112781,0.004996055548952105,0.0023859725600117176,0.0031818284294340415
2020-11-06,21.0,0.002974886276896349,0.012580566192535336,-0.006630793639011645,0.005264587071672988,0.002491317445348029,0.0034584551079426262
2020-11-06,22.0,0.0031551832772369615,0.012988096142766192,-0.00667772958854751,0.005517730379533958,0.002590155047414333,0.0037202115065839703
2020-11-06,23.0,0.00332529668394832,0.013370804448642915,-0.00672021108098797,0.0057562824600447815,0.002682911469788607,0.003967681897657727
2020-11-06,24.0,0.0034857553451195233,0.013730318956445275,-0.00675880826643438,0.00598105612438915,0.0027699961939593454,0.004201514495853154
